[2026-04-10 08:41:45,739] flops: 10.579868042, params: 26.764399, Total params: : 26.7644
[2026-04-10 09:37:30,414] Epoch: 68, Dataset: val, Dice: 0.9378, IoU: 0.8878
[2026-04-10 09:37:30,414] ### Best Model Saved (Dice improved from 0.9363 to 0.9378) ###
[2026-04-10 09:38:26,736] Epoch: 69, Dataset: test, Dice: 0.9384, IoU: 0.8889
[2026-04-10 09:38:27,637] Epoch: 69, Dataset: val, Dice: 0.9102, IoU: 0.8509
[2026-04-10 09:39:24,433] Epoch: 70, Dataset: test, Dice: 0.9429, IoU: 0.8951
[2026-04-10 09:39:25,351] Epoch: 70, Dataset: val, Dice: 0.9314, IoU: 0.8769
[2026-04-10 09:40:21,182] Epoch: 71, Dataset: test, Dice: 0.9460, IoU: 0.8993
[2026-04-10 09:40:22,087] Epoch: 71, Dataset: val, Dice: 0.9300, IoU: 0.8758
[2026-04-10 09:41:18,724] Epoch: 72, Dataset: test, Dice: 0.9504, IoU: 0.9075
[2026-04-10 09:41:19,639] Epoch: 72, Dataset: val, Dice: 0.9334, IoU: 0.8809
[2026-04-10 09:42:17,477] Epoch: 73, Dataset: test, Dice: 0.9406, IoU: 0.8919
[2026-04-10 09:42:19,151] Epoch: 73, Dataset: val, Dice: 0.9280, IoU: 0.8756
[2026-04-10 09:43:18,744] Epoch: 74, Dataset: test, Dice: 0.9419, IoU: 0.8948
[2026-04-10 09:43:19,708] Epoch: 74, Dataset: val, Dice: 0.9073, IoU: 0.8497
[2026-04-10 09:44:15,374] Epoch: 75, Dataset: test, Dice: 0.9360, IoU: 0.8842
[2026-04-10 09:44:16,340] Epoch: 75, Dataset: val, Dice: 0.9134, IoU: 0.8534
[2026-04-10 09:45:12,202] Epoch: 76, Dataset: test, Dice: 0.9464, IoU: 0.9013
[2026-04-10 09:45:13,141] Epoch: 76, Dataset: val, Dice: 0.9258, IoU: 0.8717
[2026-04-10 09:46:08,891] Epoch: 77, Dataset: test, Dice: 0.9451, IoU: 0.8995
[2026-04-10 09:46:09,807] Epoch: 77, Dataset: val, Dice: 0.9223, IoU: 0.8666
[2026-04-10 09:47:06,178] Epoch: 78, Dataset: test, Dice: 0.9152, IoU: 0.8585
[2026-04-10 09:47:07,167] Epoch: 78, Dataset: val, Dice: 0.8595, IoU: 0.7887
[2026-04-10 09:48:03,465] Epoch: 79, Dataset: test, Dice: 0.9492, IoU: 0.9053
[2026-04-10 09:48:04,448] Epoch: 79, Dataset: val, Dice: 0.9000, IoU: 0.8414
[2026-04-10 09:49:00,382] Epoch: 80, Dataset: test, Dice: 0.9478, IoU: 0.9029
[2026-04-10 09:49:01,388] Epoch: 80, Dataset: val, Dice: 0.9342, IoU: 0.8812
[2026-04-10 09:49:57,137] Epoch: 81, Dataset: test, Dice: 0.9481, IoU: 0.9041
[2026-04-10 09:49:58,088] Epoch: 81, Dataset: val, Dice: 0.9365, IoU: 0.8856
[2026-04-10 09:50:54,384] Epoch: 82, Dataset: test, Dice: 0.9511, IoU: 0.9088
[2026-04-10 09:50:55,335] Epoch: 82, Dataset: val, Dice: 0.9349, IoU: 0.8837
[2026-04-10 09:51:51,280] Epoch: 83, Dataset: test, Dice: 0.9468, IoU: 0.9018
[2026-04-10 09:51:52,166] Epoch: 83, Dataset: val, Dice: 0.9285, IoU: 0.8732
[2026-04-10 09:52:48,465] Epoch: 84, Dataset: test, Dice: 0.9430, IoU: 0.8955
[2026-04-10 09:52:49,443] Epoch: 84, Dataset: val, Dice: 0.9284, IoU: 0.8750
[2026-04-10 09:53:45,348] Epoch: 85, Dataset: test, Dice: 0.9426, IoU: 0.8958
[2026-04-10 09:53:46,275] Epoch: 85, Dataset: val, Dice: 0.9328, IoU: 0.8818
[2026-04-10 09:54:42,186] Epoch: 86, Dataset: test, Dice: 0.9478, IoU: 0.9038
[2026-04-10 09:54:43,116] Epoch: 86, Dataset: val, Dice: 0.9355, IoU: 0.8841
[2026-04-10 09:55:39,501] Epoch: 87, Dataset: test, Dice: 0.9465, IoU: 0.9016
[2026-04-10 09:55:40,379] Epoch: 87, Dataset: val, Dice: 0.9315, IoU: 0.8779
[2026-04-10 09:56:36,717] Epoch: 88, Dataset: test, Dice: 0.9173, IoU: 0.8667
[2026-04-10 09:56:37,732] Epoch: 88, Dataset: val, Dice: 0.9153, IoU: 0.8577
[2026-04-10 09:57:34,417] Epoch: 89, Dataset: test, Dice: 0.9464, IoU: 0.9015
[2026-04-10 09:57:35,302] Epoch: 89, Dataset: val, Dice: 0.9313, IoU: 0.8779
